metodo,tempo,iteracoes
mergeSort_2048_numeros,1563800,99218
mergeSort_1048576_numeros,277550700,88458294
mergeSort_32_numeros,29700,770
mergeSort_2048_numeros,1619500,99176
mergeSort_1048576_numeros,316189500,88454550
mergeSort_32_numeros,28300,768
mergeSort_2048_numeros,1600100,99176
mergeSort_1048576_numeros,297625900,88450990
mergeSort_32_numeros,17400,792
mergeSort_2048_numeros,744300,99220
mergeSort_1048576_numeros,279918100,88458690
mergeSort_32_numeros,28800,788
mergeSort_2048_numeros,1553600,99250
mergeSort_1048576_numeros,295955200,88455894
mergeSort_32_numeros,28400,782
mergeSort_2048_numeros,1591700,99250
mergeSort_1048576_numeros,300719700,88454808
mergeSort_32_numeros,14000,778
mergeSort_2048_numeros,1617300,99142
mergeSort_1048576_numeros,334803300,88455298
mergeSort_32_numeros,29900,786
mergeSort_2048_numeros,1580700,99244
mergeSort_1048576_numeros,380997300,88456208
mergeSort_32_numeros,30200,780
mergeSort_2048_numeros,1408100,99180
mergeSort_1048576_numeros,280789800,88458348
mergeSort_32_numeros,28500,774
mergeSort_2048_numeros,850800,99236
mergeSort_1048576_numeros,403687800,88454692
mergeSort_32_numeros,27400,774
mergeSort_2048_numeros,1355000,99226
mergeSort_1048576_numeros,396498700,88455652
mergeSort_32_numeros,30700,780
mergeSort_2048_numeros,546000,99206
mergeSort_1048576_numeros,282154600,88456720
mergeSort_32_numeros,29400,784
mergeSort_2048_numeros,1420700,99190
mergeSort_1048576_numeros,278563300,88454842
mergeSort_32_numeros,28600,782
mergeSort_2048_numeros,1528100,99266
mergeSort_1048576_numeros,280133800,88455172
mergeSort_32_numeros,20400,782
mergeSort_2048_numeros,1390300,99200
mergeSort_1048576_numeros,293144100,88456266
mergeSort_32_numeros,16700,786
mergeSort_2048_numeros,601200,99276
mergeSort_1048576_numeros,383809100,88456440
mergeSort_32_numeros,28200,776
mergeSort_2048_numeros,1548600,99152
mergeSort_1048576_numeros,389597600,88456048
mergeSort_32_numeros,30200,778
mergeSort_2048_numeros,1525100,99146
mergeSort_1048576_numeros,388613700,88455710
mergeSort_32_numeros,29500,788
mergeSort_2048_numeros,1027800,99234
mergeSort_1048576_numeros,375363100,88454526
mergeSort_32_numeros,29000,774
mergeSort_2048_numeros,1034400,99216
mergeSort_1048576_numeros,402057400,88456416
mergeSort_32_numeros,29400,772
mergeSort_2048_numeros,1518000,99198
mergeSort_1048576_numeros,277377600,88455376
mergeSort_32_numeros,29800,788
mergeSort_2048_numeros,1549600,99136
mergeSort_1048576_numeros,316782700,88455288
mergeSort_32_numeros,19500,776
mergeSort_2048_numeros,854700,99200
mergeSort_1048576_numeros,279901900,88459190
mergeSort_32_numeros,30500,778
mergeSort_2048_numeros,1559800,99182
mergeSort_1048576_numeros,383944900,88457244
mergeSort_32_numeros,18600,788
mergeSort_2048_numeros,1157100,99226
mergeSort_1048576_numeros,282271800,88453320
mergeSort_32_numeros,27000,780
mergeSort_2048_numeros,1548000,99198
mergeSort_1048576_numeros,325570200,88457376
mergeSort_32_numeros,29900,782
mergeSort_2048_numeros,1535100,99190
mergeSort_1048576_numeros,427322700,88452578
mergeSort_32_numeros,28100,776
mergeSort_2048_numeros,1541200,99348
mergeSort_1048576_numeros,361831600,88453586
mergeSort_32_numeros,119600,790
mergeSort_2048_numeros,1605100,99154
mergeSort_1048576_numeros,317220200,88456578
mergeSort_32_numeros,15300,778
mergeSort_2048_numeros,1238000,99276
mergeSort_1048576_numeros,395213500,88455096
mergeSort_32_numeros,27100,780
mergeSort_2048_numeros,1589000,99282
mergeSort_1048576_numeros,279356200,88454230
mergeSort_32_numeros,18100,778
mergeSort_2048_numeros,1045900,99214
mergeSort_1048576_numeros,368157100,88455544
mergeSort_32_numeros,29900,780
mergeSort_2048_numeros,1734900,99206
mergeSort_1048576_numeros,398858100,88455268
mergeSort_32_numeros,29400,776
mergeSort_2048_numeros,1521100,99196
mergeSort_1048576_numeros,300384000,88457966
mergeSort_32_numeros,27900,784
mergeSort_2048_numeros,1598200,99248
mergeSort_1048576_numeros,331403800,88456204
mergeSort_32_numeros,27100,786
mergeSort_2048_numeros,1596600,99138
mergeSort_1048576_numeros,426880100,88456650
mergeSort_32_numeros,29000,784
mergeSort_2048_numeros,1580400,99190
mergeSort_1048576_numeros,373759000,88460084
mergeSort_32_numeros,29500,782
mergeSort_2048_numeros,1554400,99224
mergeSort_1048576_numeros,344104300,88456616
mergeSort_32_numeros,29800,778
mergeSort_2048_numeros,1041700,99262
mergeSort_1048576_numeros,392361200,88456766
mergeSort_32_numeros,26300,786
mergeSort_2048_numeros,1154000,99170
mergeSort_1048576_numeros,349633200,88455872
mergeSort_32_numeros,23900,784
mergeSort_2048_numeros,590100,99270
mergeSort_1048576_numeros,356087300,88458754
mergeSort_32_numeros,29900,782
mergeSort_2048_numeros,1585700,99260
mergeSort_1048576_numeros,382913900,88458652
mergeSort_32_numeros,15400,776
mergeSort_2048_numeros,592500,99192
mergeSort_1048576_numeros,402181400,88454248
mergeSort_32_numeros,30700,778
mergeSort_2048_numeros,1652100,99272
mergeSort_1048576_numeros,356006100,88455308
mergeSort_32_numeros,19100,776
mergeSort_2048_numeros,1677100,99182
mergeSort_1048576_numeros,367773500,88456666
mergeSort_32_numeros,29700,786
mergeSort_2048_numeros,1506500,99180
mergeSort_1048576_numeros,283332800,88456130
mergeSort_32_numeros,29100,782
mergeSort_2048_numeros,1625300,99200
mergeSort_1048576_numeros,283016800,88454608
mergeSort_32_numeros,27800,784
